,listing_key,listing_creation_date,loan_origination_date,loan_original_amount,monthly_loan_payment,percent_funded,term,borrower_apr,prosper_rating_alpha,listing_category_numeric,listing_category_alpha
24289,B8293557039606833858057,2012-08-28 14:31:43.113000000,2012-08-31 00:00:00,4000,135.82,1.0,60,0.35365,E,1,Debt Consolidation
24294,7BD8354567675050391D9E3,2012-05-09 07:09:35.963000000,2012-05-18 00:00:00,10000,240.58,1.0,60,0.17849,A,2,Home Improvement
24299,7C1835628153690236E391B,2012-11-05 18:24:22.430000000,2012-11-27 00:00:00,2000,57.51,1.0,60,0.26528,C,1,Debt Consolidation
24302,77833565168025623FAA9CC,2012-11-28 17:21:15.710000000,2012-12-17 00:00:00,6000,180.5,1.0,60,0.28848,D,13,Household Expenses
24307,77A33563299859445A8E861,2012-11-20 16:31:08.907000000,2012-12-03 00:00:00,10000,315.17,1.0,36,0.09736,AA,1,Debt Consolidation
24309,77BB35533336988101C83E3,2012-07-19 12:04:47.177000000,2012-07-27 00:00:00,12000,423.43,1.0,36,0.19921,B,2,Home Improvement
24321,065C3548359135484F8EEF4,2012-06-06 17:25:03.903000000,2012-06-08 00:00:00,3000,127.34,1.0,36,0.33973,E,13,Household Expenses
24326,06743542073991828466057,2012-03-04 13:02:40.820000000,2012-03-20 00:00:00,5000,153.22,1.0,36,0.06828,AA,1,Debt Consolidation
24335,44653553709377575D1ADCD,2012-08-06 16:14:51.310000000,2012-08-13 00:00:00,4000,173.71,1.0,36,0.35797,HR,7,Other
24346,2E5035409819485277D7BB9,2012-03-15 09:20:50.333000000,2012-03-26 00:00:00,4000,173.71,1.0,36,0.35797,HR,1,Debt Consolidation
24347,2E513545865006497BB85E6,2012-05-04 09:05:50.010000000,2012-05-09 00:00:00,4000,168.89,1.0,36,0.33553,E,7,Other
24352,2E623544414516286EF6608,2012-04-03 13:50:00.860000000,2012-04-09 00:00:00,4000,168.89,1.0,36,0.33553,E,1,Debt Consolidation
24353,2E623552451547297F1CA56,2012-07-10 20:52:41.587000000,2012-07-13 00:00:00,19000,440.62,1.0,60,0.16151,A,1,Debt Consolidation
24363,7B7A356163711843003ADAF,2012-10-18 12:17:39.173000000,2012-10-26 00:00:00,8000,201.06,1.0,60,0.19907,B,1,Debt Consolidation
24364,7B873565426161282526E88,2012-12-01 10:42:15.923000000,2012-12-12 00:00:00,5000,188.35,1.0,36,0.24758,C,1,Debt Consolidation
24377,30FE3541319822206F54D70,2012-03-01 14:52:38.283000000,2012-03-07 00:00:00,13000,486.38,1.0,36,0.24246,C,1,Debt Consolidation
24389,12003560680252049011E0C,2012-10-11 08:09:24.337000000,2012-10-24 00:00:00,18000,391.45,1.0,60,0.13247,AA,1,Debt Consolidation
24392,BB193534624174391446AA0,2012-01-02 16:03:53.283000000,2012-01-09 00:00:00,15000,524.32,1.0,36,0.18478,B,1,Debt Consolidation
24393,BB1D3555055995027A5E140,2012-08-24 09:09:30.327000000,2012-08-30 00:00:00,2000,73.3,1.0,36,0.22712,C,7,Other
24397,7F8935481136293870FD120,2012-05-17 12:25:10.973000000,2012-06-01 00:00:00,13000,448.68,1.0,36,0.18316,B,2,Home Improvement
24412,77CB355440305520937F907,2012-08-05 17:57:32.697000000,2012-08-10 00:00:00,2000,78.98,1.0,36,0.28339,D,7,Other
24414,77D43548987206479AA637E,2012-06-15 08:25:40.040000000,2012-06-28 00:00:00,5000,189.61,1.0,36,0.25259,C,2,Home Improvement
24417,6C3035664825246802642A1,2012-12-20 08:48:43.670000000,2012-12-28 00:00:00,4000,172.76,1.0,36,0.35356,HR,13,Household Expenses
24418,6C313543426929120C4B193,2012-04-10 11:47:56.677000000,2012-04-13 00:00:00,7000,270.49,1.0,36,0.26681,D,1,Debt Consolidation
24427,06703553918789531BEFF89,2012-08-10 12:11:33.233000000,2012-08-21 00:00:00,15000,446.71,1.0,60,0.28324,D,15,Medical/Dental
24439,65B635503287954602B1ABD,2012-06-19 13:32:53.907000000,2012-06-25 00:00:00,2000,84.89,1.0,36,0.33973,E,1,Debt Consolidation
24450,FDB7356161526071640BEF6,2012-10-27 19:24:41.963000000,2012-11-19 00:00:00,4000,173.71,1.0,36,0.35797,HR,1,Debt Consolidation
24453,2E7935644802579058AFF6D,2012-11-23 15:54:51.133000000,2012-12-18 00:00:00,8500,331.07,1.0,36,0.27285,D,1,Debt Consolidation
24454,2E7A35636606985905CCE04,2012-11-24 18:43:15.953000000,2012-12-11 00:00:00,15000,451.24,1.0,60,0.28848,D,1,Debt Consolidation
24459,2EB93544455454953A1A700,2012-04-24 18:28:06.423000000,2012-05-22 00:00:00,3000,127.34,1.0,36,0.33973,E,15,Medical/Dental
24460,D84A3557950852541E52F1E,2012-09-20 08:39:34.697000000,2012-09-28 00:00:00,11500,358.34,1.0,60,0.30697,D,7,Other
24463,B67A35491149060116B1EC4,2012-05-28 06:54:55.937000000,2012-05-31 00:00:00,4100,147.57,1.0,36,0.21372,B,7,Other
24465,D88C35617141240933EED3B,2012-11-06 05:59:31.517000000,2012-11-23 00:00:00,15000,451.24,1.0,60,0.28848,D,2,Home Improvement
24469,7BB53552243264578555FBF,2012-07-16 13:13:05.020000000,2012-07-30 00:00:00,7500,220.05,1.0,60,0.27554,C,6,Auto
24471,7BBA3551272678296E37783,2012-06-25 18:26:44.910000000,2012-07-05 00:00:00,2000,68.49,1.0,60,0.35838,E,13,Household Expenses
24480,120E35443140642186AC24B,2012-04-16 19:16:26.657000000,2012-04-19 00:00:00,5000,172.57,1.0,36,0.18316,B,20,Wedding Loans
24485,12C93561470373169D7A5BD,2012-11-05 06:39:39.900000000,2012-11-13 00:00:00,5000,194.75,1.0,36,0.27285,D,1,Debt Consolidation
24494,7F953540442569726976360,2012-02-24 19:25:15.190000000,2012-03-02 00:00:00,4000,173.71,1.0,36,0.35797,HR,3,Business
24496,7F9B353799286833308C8A8,2012-02-09 14:31:39.733000000,2012-02-13 00:00:00,5000,186.43,1.0,36,0.2399,C,3,Business
24506,6AC23559923152635AC4361,2012-10-01 15:28:43.190000000,2012-10-10 00:00:00,3000,130.28,1.0,36,0.35797,HR,15,Medical/Dental
24511,8F4E35417311724562B04A3,2012-03-18 23:15:22.647000000,2012-03-30 00:00:00,12000,387.15,1.0,36,0.12782,A,1,Debt Consolidation
24518,8F70356199361735741CE96,2012-10-28 07:42:43.180000000,2012-11-06 00:00:00,15000,516.97,1.0,36,0.18214,B,1,Debt Consolidation
24519,CC233560187152355A2B865,2012-10-10 17:08:29.170000000,2012-10-25 00:00:00,15200,505.08,1.0,36,0.14857,A,1,Debt Consolidation
24521,68403550981921485B990A1,2012-06-24 07:23:07.687000000,2012-07-11 00:00:00,23500,496.53,1.0,60,0.1197,AA,3,Business
24532,06603540047831421619D43,2012-02-20 19:09:21.087000000,2012-02-27 00:00:00,11000,309.65,1.0,60,0.25451,C,1,Debt Consolidation
24539,65D63536024202285266B24,2012-01-16 11:30:37.950000000,2012-01-24 00:00:00,2273,69.65,1.0,36,0.06828,AA,2,Home Improvement
24541,65E93553007732715ABF433,2012-07-19 11:52:26.453000000,2012-07-23 00:00:00,3500,89.45,1.0,60,0.20705,B,6,Auto
24545,66103564683073255CB7CA9,2012-12-15 10:02:54.947000000,2012-12-31 00:00:00,17500,439.83,1.0,60,0.19907,B,1,Debt Consolidation
24560,2ED5355287953982697917B,2012-07-23 17:00:36.753000000,2012-08-23 00:00:00,10000,388.35,1.0,36,0.2706,D,7,Other
24587,B1433544433274171C0B532,2012-04-23 20:16:33.750000000,2012-05-07 00:00:00,11000,395.91,1.0,36,0.21372,B,1,Debt Consolidation
24590,2D1A3539759795199067976,2012-02-25 03:58:20.517000000,2012-02-29 00:00:00,10000,227.33,1.0,60,0.14766,A,1,Debt Consolidation
24597,2DA93543066122111A98D8F,2012-03-22 10:50:08.677000000,2012-03-26 00:00:00,4000,169.78,1.0,36,0.33973,E,1,Debt Consolidation
24605,7FE03554694180771BEEA8B,2012-08-21 11:24:21.660000000,2012-09-04 00:00:00,4000,167.82,1.0,36,0.33051,E,19,Vacation
24622,CC5E3545680174670022908,2012-04-24 11:30:25.987000000,2012-04-30 00:00:00,25000,541.69,1.0,60,0.13084,AA,3,Business
24627,75393545273354105D1110C,2012-05-02 19:34:48.670000000,2012-05-09 00:00:00,4000,168.89,1.0,36,0.33553,E,13,Household Expenses
24631,755D3535961364064CD56EC,2012-01-10 09:13:24.287000000,2012-01-18 00:00:00,6500,206.67,1.0,36,0.11766,A,1,Debt Consolidation
24635,057E354695624119856DF11,2012-05-20 16:16:18.427000000,2012-05-30 00:00:00,7000,188.78,1.0,60,0.23318,B,20,Wedding Loans
24637,058E35357975594348EE706,2012-01-05 10:15:28.413000000,2012-02-29 00:00:00,13000,413.34,1.0,36,0.11766,A,1,Debt Consolidation
24638,058F3537283980625DAF310,2012-01-28 14:47:47.397000000,2012-01-31 00:00:00,2000,85.99,1.0,36,0.34998,E,1,Debt Consolidation
24643,B753355279097320662DBC1,2012-07-17 12:05:03.410000000,2012-08-20 00:00:00,12000,375.43,1.0,36,0.09232,AA,1,Debt Consolidation
24644,B75E3548411991998015B37,2012-06-02 16:03:16.673000000,2012-06-13 00:00:00,4000,126.24,1.0,60,0.31375,D,1,Debt Consolidation
24645,B76235466803623328AE572,2012-05-07 08:56:58.897000000,2012-05-09 00:00:00,4500,124.8,1.0,60,0.24702,C,1,Debt Consolidation
24658,10723561521012139BCE144,2012-11-02 14:19:25.433000000,2012-11-26 00:00:00,9200,276.76,1.0,60,0.28848,D,1,Debt Consolidation
24660,2EE8355840506789629F70E,2012-09-21 08:07:00.117000000,2012-10-18 00:00:00,25000,557.12,1.0,60,0.14341,AA,1,Debt Consolidation
24678,E3B4354019868464385892E,2012-03-06 14:26:31.597000000,2012-04-25 00:00:00,2100,67.41,1.0,36,0.12427,A,14,Large Purchases
24680,E3BA3560541563918D9BF2C,2012-10-09 11:21:47.907000000,2012-10-19 00:00:00,9000,244.39,1.0,60,0.23656,C,7,Other
24691,B1683552537392597791FD6,2012-07-12 09:03:38.897000000,2012-07-24 00:00:00,15000,529.28,1.0,36,0.19921,B,2,Home Improvement
24705,BB3B355404172684663E166,2012-08-03 09:54:24.920000000,2012-08-17 00:00:00,6500,188.24,1.0,60,0.26887,C,1,Debt Consolidation
24708,BB5B3540846825117C3B862,2012-02-26 15:30:35.240000000,2012-04-26 00:00:00,3000,130.28,1.0,36,0.35797,HR,7,Other
24716,6D9D3554225778556E0EC2A,2012-08-14 19:44:55.923000000,2012-10-18 00:00:00,20000,452.1,1.0,60,0.14985,A,1,Debt Consolidation
24734,4C1C35591195702426B1C2D,2012-09-27 08:21:57.233000000,2012-10-05 00:00:00,15000,456.6,1.0,60,0.29464,D,1,Debt Consolidation
24735,4C2135589789865409C3891,2012-09-30 22:02:39.303000000,2012-10-12 00:00:00,15500,367.61,1.0,60,0.17184,A,3,Business
24744,1283354568147705260B63E,2012-04-30 09:47:12.950000000,2012-05-02 00:00:00,3500,135.25,1.0,36,0.26681,D,15,Medical/Dental
24747,066E354257025411954F16D,2012-03-19 15:53:18,2012-03-23 00:00:00,3500,111.28,1.0,36,0.11766,A,2,Home Improvement
24755,06A13561090639864820EDE,2012-10-17 16:35:20.917000000,2012-10-22 00:00:00,11129,334.79,1.0,60,0.28848,D,12,Green Loans
24763,D6EA3548235172498010CD5,2012-06-04 12:46:33.073000000,2012-06-15 00:00:00,10500,362.39,1.0,36,0.18316,B,1,Debt Consolidation
24764,29903537206127434A85A1C,2012-01-12 18:20:27.610000000,2012-01-18 00:00:00,4000,122.14,1.0,36,0.06587,AA,7,Other
24765,299735470025820379D7126,2012-05-02 08:07:29.997000000,2012-05-17 00:00:00,15000,549.99,1.0,36,0.22742,C,2,Home Improvement
24767,2D33356544029959774E1AB,2012-12-05 10:29:48.930000000,2012-12-18 00:00:00,4000,168.32,1.0,36,0.33286,E,1,Debt Consolidation
24768,2D373546035682020E4CEEF,2012-05-09 08:47:05.240000000,2012-05-17 00:00:00,9000,263.58,1.0,60,0.27462,C,7,Other
24769,2D3D355165432077699D60A,2012-06-25 13:16:43.113000000,2012-07-09 00:00:00,10500,252.61,1.0,60,0.17849,A,1,Debt Consolidation
24770,2D3E35552021034745DE1C5,2012-08-26 13:01:49.800000000,2012-08-28 00:00:00,9039,248.67,1.0,60,0.24302,C,7,Other
24775,45243541103507560887422,2012-02-24 19:29:44.253000000,2012-02-29 00:00:00,4000,137.66,1.0,36,0.17359,B,16,Motorcycle
24778,587C3555882084385C2230D,2012-09-04 15:15:46.897000000,2012-09-26 00:00:00,4000,136.98,1.0,60,0.35838,E,1,Debt Consolidation
24782,DDCE3539049012262103CBD,2012-02-09 12:30:37.600000000,2012-02-28 00:00:00,15000,437.46,1.0,60,0.27246,C,7,Other
24790,B17235378103416537411EB,2012-02-07 06:37:43.710000000,2012-02-13 00:00:00,15000,516.24,1.0,36,0.17359,B,15,Medical/Dental
24798,2E1C3552985680929006127,2012-07-25 02:46:20.957000000,2012-07-30 00:00:00,25000,667.78,1.0,60,0.22847,B,1,Debt Consolidation
24803,307D3554744645432FBA1FC,2012-07-31 08:39:11.133000000,2012-08-07 00:00:00,10500,323.58,1.0,60,0.30111,D,1,Debt Consolidation
24805,308935552395616873254D0,2012-08-08 13:11:27.703000000,2012-08-28 00:00:00,15000,582.52,1.0,36,0.2706,D,1,Debt Consolidation
24806,BB8235507904864272D2A60,2012-06-19 11:02:13.513000000,2012-06-22 00:00:00,3000,130.28,1.0,36,0.35797,HR,19,Vacation
24807,BB873546006306069152ACD,2012-04-25 11:57:10.720000000,2012-05-04 00:00:00,15000,539.88,1.0,36,0.21372,B,1,Debt Consolidation
24814,BBB63547916916278E60BA8,2012-05-20 11:48:47.890000000,2012-05-22 00:00:00,2000,60.0,1.0,60,0.28704,D,19,Vacation
24821,62CE3563098780109AB7751,2012-11-24 10:28:57.293000000,2012-11-30 00:00:00,3500,107.51,1.0,36,0.06988,AA,1,Debt Consolidation
24827,78513540152294627F010D8,2012-03-04 18:35:51.043000000,2012-03-09 00:00:00,4000,127.18,1.0,36,0.11766,A,1,Debt Consolidation
24829,7865355809410002360DF1A,2012-09-12 19:58:18.243000000,2012-09-19 00:00:00,8000,257.16,1.0,36,0.12528,A,1,Debt Consolidation
24832,12943547956459478313820,2012-06-04 14:08:40.840000000,2012-06-13 00:00:00,13000,410.27,1.0,60,0.31375,D,7,Other
24835,11F23538118861915BB7B37,2012-02-08 15:00:48.357000000,2012-02-13 00:00:00,3000,103.25,1.0,36,0.17359,B,1,Debt Consolidation
24836,11F8353598904955372B44C,2012-01-04 15:17:32.347000000,2012-01-06 00:00:00,4000,171.08,1.0,36,0.34577,E,2,Home Improvement
24837,11FB354990991827589F64C,2012-06-22 11:13:21,2012-10-19 00:00:00,10500,376.13,1.0,36,0.21025,C,1,Debt Consolidation
24841,4C3035583902907732B220D,2012-09-26 09:30:21.700000000,2012-09-28 00:00:00,5400,175.11,1.0,36,0.13138,A,3,Business
24842,4C313544640738997601A31,2012-04-11 06:56:21.083000000,2012-04-16 00:00:00,4000,173.71,1.0,36,0.35797,HR,1,Debt Consolidation
24853,06333535313038755472484,2011-12-25 16:43:12.473000000,2012-02-28 00:00:00,3500,301.36,1.0,12,0.13696,A,2,Home Improvement
24864,D7103548141138107C4343D,2012-06-04 18:35:45.887000000,2012-06-06 00:00:00,3914,143.51,1.0,36,0.22742,C,1,Debt Consolidation
24882,D78C355564699233546E95E,2012-08-12 14:30:16.673000000,2012-08-16 00:00:00,4500,394.51,1.0,12,0.13204,A,1,Debt Consolidation
24886,B94A3541283454390D19036,2012-03-11 10:37:25.563000000,2012-03-15 00:00:00,4000,136.98,1.0,60,0.35838,E,14,Large Purchases
24897,30913539503280710789852,2012-02-07 18:04:58.453000000,2012-04-02 00:00:00,5000,158.98,1.0,36,0.11766,A,1,Debt Consolidation
24898,2E273549522116161E460E5,2012-06-15 16:44:48.103000000,2012-06-21 00:00:00,2500,108.57,1.0,36,0.35797,HR,7,Other
24901,2E423554365937520DBFEB4,2012-08-13 15:46:44.153000000,2012-08-24 00:00:00,3500,151.99,1.0,36,0.35797,HR,6,Auto
24908,C4C7353655428581319FC62,2012-01-03 15:45:09.013000000,2012-02-28 00:00:00,4000,169.78,1.0,36,0.33973,E,1,Debt Consolidation
24934,BA1D35645853701165E0B45,2012-11-27 17:18:07.103000000,2012-12-05 00:00:00,3000,113.01,1.0,36,0.24758,C,1,Debt Consolidation
24941,71813561259409790CB3113,2012-11-03 18:09:32.793000000,2012-11-09 00:00:00,6500,208.94,1.0,36,0.12528,A,1,Debt Consolidation
24945,71AD355008929592447C493,2012-06-12 18:45:25.190000000,2012-06-19 00:00:00,3000,113.77,1.0,36,0.25259,C,19,Vacation
24947,05ED35492326802018F7FE0,2012-05-31 18:58:28.780000000,2012-06-05 00:00:00,2500,108.57,1.0,36,0.35797,HR,20,Wedding Loans
24951,062D35462797705156A27E0,2012-04-27 08:07:03.447000000,2012-05-01 00:00:00,3500,151.99,1.0,36,0.35797,HR,1,Debt Consolidation
24965,2D9E3545656711089D65D71,2012-04-23 15:54:33.393000000,2012-05-01 00:00:00,4000,173.71,1.0,36,0.35797,HR,1,Debt Consolidation
24971,2DAF3561436310179082A32,2012-10-22 11:17:10,2012-10-25 00:00:00,3000,92.96,1.0,36,0.08577,AA,6,Auto
24974,B2B13544893035736A6CD13,2012-04-23 08:47:45.560000000,2012-05-02 00:00:00,5000,146.43,1.0,60,0.27462,C,1,Debt Consolidation
24982,2E4B3559844631923E93275,2012-10-20 10:59:14.193000000,2012-10-29 00:00:00,22500,570.98,1.0,60,0.20367,B,1,Debt Consolidation
25009,845F355915355395583EC9E,2012-09-18 19:41:57.273000000,2012-09-24 00:00:00,4000,173.71,1.0,36,0.35797,HR,1,Debt Consolidation
25017,C6C53551705016908AE8F8F,2012-07-16 04:47:37.907000000,2012-07-19 00:00:00,4000,128.39,1.0,36,0.12427,A,3,Business
25025,8FCD3554930927864756FD5,2012-08-18 12:14:44.283000000,2012-08-28 00:00:00,5000,180.11,1.0,36,0.21434,C,7,Other
25030,D7CB3563589068629ED7ADA,2012-11-17 06:14:57.903000000,2012-11-28 00:00:00,2000,86.85,1.0,36,0.35797,HR,1,Debt Consolidation
25031,B67E3561051655549C9A658,2012-11-01 13:19:01.050000000,2012-11-13 00:00:00,3500,147.28,1.0,36,0.33286,E,7,Other
25035,71B63543674437928942049,2012-03-28 16:23:51.353000000,2012-04-16 00:00:00,4000,173.71,1.0,36,0.35797,HR,3,Business
25046,070535419756274937214DE,2012-03-19 11:34:02.980000000,2012-03-27 00:00:00,4000,173.71,1.0,36,0.35797,HR,3,Business
25057,EF573550096673882B09386,2012-06-18 06:10:48.070000000,2012-06-25 00:00:00,2500,108.57,1.0,36,0.35797,HR,2,Home Improvement
25067,2DD23536587670548789162,2012-01-10 09:30:33.590000000,2012-01-12 00:00:00,2500,230.39,1.0,12,0.28918,D,6,Auto
25077,B2F03539823959840CA3258,2012-02-22 10:41:17.547000000,2012-02-24 00:00:00,3500,135.25,1.0,36,0.26681,D,1,Debt Consolidation
25082,2E8835448568165968C012B,2012-04-26 06:16:57.440000000,2012-04-30 00:00:00,4000,107.88,1.0,60,0.23318,B,13,Household Expenses
25086,BF44355627901528594048D,2012-09-09 11:19:12.277000000,2012-09-13 00:00:00,4000,173.71,1.0,36,0.35797,HR,1,Debt Consolidation
25090,BF643536804429220B8DB8B,2012-01-17 17:07:12.663000000,2012-01-31 00:00:00,11000,320.8,1.0,60,0.27246,C,14,Large Purchases
25095,11C83564018168177D9DE35,2012-11-14 22:52:28.560000000,2012-11-20 00:00:00,5000,163.43,1.0,36,0.13697,A,1,Debt Consolidation
25097,124335550432178492E11BA,2012-08-10 14:21:37.440000000,2012-08-21 00:00:00,15000,415.82,1.0,60,0.24682,C,17,RV
25098,12453549914330502512FA1,2012-06-26 08:30:42.110000000,2012-06-29 00:00:00,15000,529.28,1.0,36,0.19921,B,1,Debt Consolidation
25108,7B17353932431573473F107,2012-02-24 14:27:46,2012-02-29 00:00:00,4000,173.71,1.0,36,0.35797,HR,2,Home Improvement
25109,7B203556264867847747DD2,2012-08-30 19:33:09.123000000,2012-09-04 00:00:00,4000,136.98,1.0,60,0.35838,E,19,Vacation
25114,8FFE3553766869056B1D26E,2012-08-06 11:54:38.780000000,2012-08-17 00:00:00,15000,582.52,1.0,36,0.2706,D,1,Debt Consolidation
25116,90053556936857855F1DD11,2012-08-23 14:45:20.330000000,2012-08-31 00:00:00,2000,77.67,1.0,36,0.2706,D,7,Other
25121,553A3551316509861607D2E,2012-06-20 09:40:19.583000000,2012-06-22 00:00:00,4000,173.71,1.0,36,0.35797,HR,6,Auto
25126,6E073555322089653F7917F,2012-08-21 12:10:01.153000000,2012-08-31 00:00:00,15000,572.78,1.0,36,0.25781,D,11,Engagement Ring
25143,06B535557249255362FC1EC,2012-08-23 08:49:07.710000000,2012-08-28 00:00:00,10000,230.82,1.0,60,0.15936,A,19,Vacation
25150,A8BB35508114700534A3806,2012-07-06 16:48:00.910000000,2012-07-13 00:00:00,25000,601.46,1.0,60,0.17849,A,1,Debt Consolidation
25151,A8C63552038919044264878,2012-07-18 08:43:32.187000000,2012-07-25 00:00:00,11000,255.1,1.0,60,0.16151,A,6,Auto
25161,2E44354763300246892754A,2012-05-15 07:10:16.723000000,2012-05-29 00:00:00,13000,516.81,1.0,36,0.28851,D,1,Debt Consolidation
25174,2EB035406195252018B44D2,2012-03-07 08:33:02.147000000,2012-03-15 00:00:00,4000,173.71,1.0,36,0.35797,HR,3,Business
25176,2EBC355748670423790FFE4,2012-09-11 10:13:15.340000000,2012-09-20 00:00:00,4000,135.82,1.0,60,0.35365,E,15,Medical/Dental
25182,2B6535455501236812977B2,2012-05-06 07:12:16.350000000,2012-05-17 00:00:00,4000,173.71,1.0,36,0.35797,HR,1,Debt Consolidation
25184,126E35597950766507D6C7C,2012-09-30 17:50:58.517000000,2012-10-16 00:00:00,12000,373.22,1.0,36,0.08829,AA,16,Motorcycle
25185,1322356523924480890BFB0,2012-12-10 21:54:07.733000000,2012-12-24 00:00:00,2000,86.85,1.0,36,0.35797,HR,19,Vacation
25190,133035359862256385081B2,2012-01-02 12:40:19.537000000,2012-01-13 00:00:00,7500,243.9,1.0,60,0.32989,D,2,Home Improvement
25200,7B6035383231891779010BD,2012-02-01 15:43:49.877000000,2012-02-07 00:00:00,10500,392.84,1.0,36,0.24246,C,2,Home Improvement
25211,9CF93539079950340C7F2AB,2012-02-11 13:23:17.013000000,2012-02-14 00:00:00,4000,173.71,1.0,36,0.35797,HR,14,Large Purchases
25217,BA2935525575252283E3D02,2012-07-11 14:19:43.560000000,2012-08-14 00:00:00,4000,173.71,1.0,36,0.35797,HR,2,Home Improvement
25218,6E363549503358097555C83,2012-06-14 11:10:07.973000000,2012-06-25 00:00:00,4000,136.98,1.0,60,0.35838,E,3,Business
25225,5F683548107030331B746B3,2012-05-21 12:18:07.123000000,2012-05-24 00:00:00,4000,173.71,1.0,36,0.35797,HR,1,Debt Consolidation
25229,D8F93556091953512B56248,2012-08-29 23:37:43.140000000,2012-08-31 00:00:00,2000,55.44,1.0,60,0.24682,C,13,Household Expenses
25238,070535539911419095BAB6F,2012-08-06 09:09:18.353000000,2012-08-22 00:00:00,4000,167.82,1.0,36,0.33051,E,1,Debt Consolidation
25266,99BA3556624336740AEE014,2012-09-07 04:25:17.937000000,2012-09-13 00:00:00,2000,79.77,1.0,36,0.29107,D,7,Other
25270,2B6935452026084052C3A40,2012-04-17 13:24:16.857000000,2012-05-02 00:00:00,6000,189.36,1.0,60,0.31375,D,19,Vacation
25276,2B8A353490643829152BBE2,2011-12-27 12:43:58.173000000,2012-01-30 00:00:00,10000,394.91,1.0,36,0.28339,D,1,Debt Consolidation
25284,13C03548616157785AADEEE,2012-05-29 18:43:26.667000000,2012-06-12 00:00:00,6000,227.53,1.0,36,0.25259,C,1,Debt Consolidation
25291,9C443542467580857E1D170,2012-03-12 10:28:34.920000000,2012-03-26 00:00:00,25000,526.39,1.0,60,0.09826,AA,1,Debt Consolidation
25304,5A0E3547022206951995812,2012-05-18 11:34:36.003000000,2012-05-31 00:00:00,4000,173.71,1.0,36,0.35797,HR,3,Business
25309,BA413557526339907FC2E77,2012-09-03 04:20:58.083000000,2012-09-07 00:00:00,4000,173.71,1.0,36,0.35797,HR,2,Home Improvement
25315,5F793547768987338F31BB2,2012-05-27 15:37:42.550000000,2012-06-01 00:00:00,5500,176.54,1.0,36,0.12427,A,2,Home Improvement
25317,69CA3534156932503BC2D78,2011-12-15 20:12:06.780000000,2012-01-24 00:00:00,8000,181.86,1.0,60,0.14766,A,3,Business
25321,69DD35453100649711A7A24,2012-05-04 13:54:16.600000000,2012-05-08 00:00:00,2000,84.44,1.0,36,0.33553,E,2,Home Improvement
25323,E4263563755613515318611,2012-12-03 10:50:26.547000000,2012-12-21 00:00:00,14357,412.86,0.9571,60,0.26528,C,13,Household Expenses
25327,B6BB3548599067893B506E8,2012-05-25 13:39:33.377000000,2012-06-01 00:00:00,20000,622.03,1.0,36,0.08829,AA,7,Other
25336,FF25353697352287978EC5C,2012-01-28 10:05:39.760000000,2012-02-07 00:00:00,15000,437.46,1.0,60,0.27246,C,1,Debt Consolidation
25340,2E963542187139537E645C1,2012-03-28 09:56:53.753000000,2012-03-30 00:00:00,4000,173.71,1.0,36,0.35797,HR,1,Debt Consolidation
25343,2DCC3559220840195A8C6AB,2012-10-12 11:57:19.320000000,2012-10-24 00:00:00,15000,505.34,1.0,36,0.15833,A,1,Debt Consolidation
25345,2DD03553560484612316F31,2012-08-01 10:25:07.643000000,2012-08-15 00:00:00,5000,146.7,1.0,60,0.27554,C,7,Other
25349,06D53540662841103FEA2DE,2012-03-13 08:02:25.107000000,2012-03-15 00:00:00,4000,173.71,1.0,36,0.35797,HR,3,Business
25351,06FC353904768734649F20C,2012-02-07 11:46:00.980000000,2012-02-13 00:00:00,11500,395.79,1.0,36,0.17359,B,1,Debt Consolidation
25354,071C35586088627362712B8,2012-09-14 08:20:16.523000000,2012-09-21 00:00:00,9500,368.93,1.0,36,0.2706,D,1,Debt Consolidation
25359,2B933559265848630CCCC73,2012-09-20 17:08:07.973000000,2012-10-03 00:00:00,4000,173.71,1.0,36,0.35797,HR,3,Business
25361,2B9A35542537529242DEAA4,2012-08-14 12:22:25.507000000,2012-08-27 00:00:00,15000,482.18,1.0,36,0.12528,A,3,Business
25371,130435371648007030A9540,2012-01-31 12:14:18.497000000,2012-02-02 00:00:00,4000,173.71,1.0,36,0.35797,HR,7,Other
25381,9C7B35380947868919CCF10,2012-01-21 12:11:28.467000000,2012-01-31 00:00:00,9000,290.36,1.0,36,0.12782,A,1,Debt Consolidation
25394,69DF35528536656035CB4FB,2012-07-12 12:33:56.947000000,2012-07-24 00:00:00,2500,0.0,1.0,12,0.17969,B,7,Other
25401,6D30354358946326660C6BE,2012-03-26 14:21:28.050000000,2012-03-30 00:00:00,6000,219.15,1.0,36,0.22456,C,2,Home Improvement
25403,CD8C35402586676198211A1,2012-02-24 18:08:50.880000000,2012-03-09 00:00:00,15000,384.58,1.0,60,0.20358,B,3,Business
25411,5A0F3553661941240D7812B,2012-07-18 18:11:10.810000000,2012-07-30 00:00:00,19000,457.11,1.0,60,0.17849,A,1,Debt Consolidation
25412,7CF03546873372113616C17,2012-05-04 10:27:12.727000000,2012-05-18 00:00:00,15000,503.24,1.0,36,0.15538,A,15,Medical/Dental
25416,7D0235467218436735F646E,2012-05-04 14:07:56.667000000,2012-05-11 00:00:00,10000,379.22,1.0,36,0.25259,C,1,Debt Consolidation
